XYDATA McStas simulated data for BEER at ESS on duplex sample
  ...
  ...
  ...
INTER   1.0   1.0   0  0
TEMP  300.0
   2808.936        1        1
   2810.808        1        1
   2812.680        1        1
   2814.552        1        1
   2816.424        1        1
   2818.296        1        1
   2820.168        1        1
   2822.040        1        1
   2823.912        1        1
   2825.784        1        1
   2827.656        1        1
   2829.528        1        1
   2831.400        1        1
   2833.272        1        1
   2835.144        1        1
   2837.016        1        1
   2838.888        1        1
   2840.760        1        1
   2842.632        1        1
   2844.504        1        1
   2846.376        1        1
   2848.248        1        1
   2850.120        1        1
   2851.992        1        1
   2853.864        1        1
   2855.736        4        4
   2857.608        8        6
   2859.480       20       10
   2861.352       34       12
   2863.224       19        8
   2865.096       31       11
   2866.968        9        6
   2868.840       15        8
   2870.712        6        4
   2872.584        1        1
   2874.456        1        1
   2876.328        1        1
   2878.200        1        1
   2880.072        1        1
   2881.944        1        1
   2883.816        1        1
   2885.688        1        1
   2887.560        1        1
   2889.432        1        1
   2891.304        1        1
   2893.176        1        1
   2895.048        1        1
   2896.920        1        1
   2898.792        1        1
   2900.664        1        1
   2902.536        1        1
   2904.408        1        1
   2906.280        1        1
   2908.152        1        1
   2910.024        1        1
   2911.896        1        1
   2913.768        2        2
   2915.640        1        1
   2917.512        1        1
   2919.384        2        2
   2921.256       13        5
   2923.128       16        6
   2925.000       12        5
   2926.872       15        5
   2928.744        9        4
   2930.616       20       12
   2932.488        9        5
   2934.360       25       12
   2936.232       37       12
   2938.104       27       10
   2939.976       30       12
   2941.848       22       10
   2943.720        9        7
   2945.592        6        7
   2947.464        1        1
   2949.336        1        1
   2951.208        1        1
   2953.080        1        1
   2954.952        1        1
   2956.824        1        1
   2958.696        1        1
   2960.568        1        1
   2962.440        1        1
   2964.312        1        1
   2966.184        1        1
   2968.056        1        1
   2969.928        1        1
   2971.800        1        1
   2973.672        1        1
   2975.544        1        1
   2977.416        1        1
   2979.288        1        1
   2981.160        1        1
   2983.032        1        1
   2984.904        1        1
   2986.776        1        1
   2988.648        1        1
   2990.520        1        1
   2992.392        1        1
   2994.264        1        1
   2996.136        1        1
   2998.008        1        1
   2999.880        1        1
   3001.752        1        1
   3003.624        1        1
   3005.496        1        1
   3007.368        1        1
   3009.240        1        1
   3011.112        1        1
   3012.984        1        1
   3014.856        1        1
   3016.728        1        1
   3018.600        1        1
   3020.472        1        1
   3022.344        1        1
   3024.216        1        1
   3026.088        1        1
   3027.960        1        1
   3029.832        1        1
   3031.704        1        1
   3033.576        1        1
   3035.448        1        1
   3037.320        1        1
   3039.192        1        1
   3041.064        1        1
   3042.936        1        1
   3044.808        1        1
   3046.680        1        1
   3048.552        1        1
   3050.424        1        1
   3052.296        1        1
   3054.168        1        1
   3056.040        1        1
   3057.912        1        1
   3059.784        1        1
   3061.656        1        1
